district,school,students,grades,year,students_required_to_test_ela,students_tested_ela,pct_students_tested_ela,students_below_expectations_ela,students_at_above_expectations_ela,pct_below_expectations_ela,pct_at_above_expectations_ela
Alexander Public Schools,Alexander Elementary,All Students,8,2025,3,3,100.00%,-1,-1,-1.00%,-1.00%
Andover Public Schools,All Schools,All Students,All Grades,2021,39,34,87.20%,5,29,14.70%,85.30%
Andover Public Schools,All Schools,All Students,All Grades,2022,37,37,100.00%,6,31,16.20%,83.80%
Andover Public Schools,All Schools,All Students,All Grades,2023,40,37,92.50%,10,27,27.00%,73.00%
Andover Public Schools,All Schools,All Students,All Grades,2024,35,35,100.00%,15,20,42.90%,57.10%
Andover Public Schools,All Schools,All Students,All Grades,2025,40,39,97.50%,12,27,30.80%,69.20%
Andover Public Schools,All Schools,All Students,3,2021,5,5,100.00%,-1,-1,-1.00%,-1.00%
Andover Public Schools,All Schools,All Students,3,2022,8,8,100.00%,-1,-1,-1.00%,-1.00%
Andover Public Schools,All Schools,All Students,3,2023,5,5,100.00%,0,5,0.00%,100.00%
Andover Public Schools,All Schools,All Students,3,2024,7,7,100.00%,-1,-1,-1.00%,-1.00%
Andover Public Schools,All Schools,All Students,3,2025,2,2,100.00%,-1,-1,-1.00%,-1.00%
Andover Public Schools,All Schools,All Students,4,2021,5,5,100.00%,-1,-1,-1.00%,-1.00%
Andover Public Schools,All Schools,All Students,4,2022,6,6,100.00%,-1,-1,-1.00%,-1.00%
Andover Public Schools,All Schools,All Students,4,2023,8,8,100.00%,-1,-1,-1.00%,-1.00%
